ID;NAME
319;NAVARINO
320;PAREDONES
321;EL CARMEN
322;T.DEL PAINE
323;SGDA.FAMILIA
324;PICA
325;.LLAY LLAY
326;CORRAL
327;RAUCO
328;PUTRE
329;AYSEN
330;HUALANE
331;PEMUCO
332;LAGUNA BLANCA
333;TORTEL
334;RENACA
335;PRIMAVERA
336;QTA.DE TILCOCO
337;HUALAIHUE
338;PAIHUANO
339;A.DEL CARMEN
340;NIQUEN
341;ROMERAL
342;PELARCO
343;SAN GREGORIO
344;PAPUDO
345;CHOL-CHOL
346;HANGA ROA
347;SAN RAFAEL
348;HUARA
349;COBQUECURA
350;GUATECAS
351;HIJUELAS
352;SN.P.DE ATACAMA
353;PELEQUEN
354;BARRANCAS
355;RIO CLARO
356;CURANIPE
