IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
20504;152347;31/08/2020;6211
16868;189780;31/08/2020;6537
13559;275478;31/08/2020;10594
29993;177411;31/08/2020;6597
24623;379046;31/08/2020;54000
2002;134544;31/08/2020;4656
27504;118310;31/08/2020;6385
31517;100580;31/08/2020;7330
29445;74320;31/08/2020;6720
36951;115784;31/08/2020;5964
28949;83290;31/08/2020;4658
36302;177758;31/08/2020;32586
18788;127264;31/08/2020;5908
27494;153096;31/08/2020;9137
33072;164968;31/08/2020;10621
2324;155314;31/08/2020;11018
2973;133600;31/08/2020;6700
19043;92148;31/08/2020;6074
29861;127264;31/08/2020;5908
508;80000;31/08/2020;10000
1963;127537;31/08/2020;6791
2537;36374;31/08/2020;195
11407;89544;31/08/2020;9544
11486;164194;31/08/2020;17849
15293;78110;31/08/2020;4685
19240;48890;31/08/2020;4428
5068;164855;31/08/2020;16971
4268;149660;31/08/2020;13932
9594;53200;31/08/2020;0
;98222;31/08/2020;6074
;14590;31/08/2020;7295
16735;31325;31/08/2020;6265
18419;119744;31/08/2020;9936
28702;52205;31/08/2020;10441
31196;73270;31/08/2020;4654
8473;22832;31/08/2020;5708
15459;57115;31/08/2020;6923
2884;114595;31/08/2020;10919
7996;21430;31/08/2020;5788
9420;116115;31/08/2020;7223
31991;124590;31/08/2020;8918
16918;103802;31/08/2020;7934
17820;59204;31/08/2020;4801
18277;155130;31/08/2020;15026
19451;100370;31/08/2020;6074
24713;92860;31/08/2020;8572
35362;130790;31/08/2020;14158
8310;102668;31/08/2020;11334
3651;83084;31/08/2020;11028
9548;139070;31/08/2020;11814
13469;103844;31/08/2020;5961
13920;73420;31/08/2020;5855
23575;101355;31/08/2020;17092
28321;99128;31/08/2020;6376
15667;34010;31/08/2020;6802
4545;120000;31/08/2020;30000
4862;102015;31/08/2020;6923
5884;119175;31/08/2020;7835
6253;30370;31/08/2020;6074
6624;166070;31/08/2020;17214
19779;244728;31/08/2020;7594
17658;176842;31/08/2020;6788
25968;1218341;31/08/2020;30000
15480;265764;31/08/2020;14107
933;231645;31/08/2020;7315
30408;148760;31/08/2020;4595
1776;126480;31/08/2020;9296
8242;133508;31/08/2020;8918
9918;150000;31/08/2020;25000
21234;118400;31/08/2020;6400
19059;80000;31/08/2020;8239
20015;117399;31/08/2020;6265
23184;185472;31/08/2020;30912
28924;117590;31/08/2020;6265
29118;151020;31/08/2020;14204
29962;140000;31/08/2020;10000
33873;101900;31/08/2020;8650
35303;121538;31/08/2020;6923
36400;58375;31/08/2020;11675
4709;94410;31/08/2020;6385
8121;121538;31/08/2020;6923
10543;106814;31/08/2020;8938
16613;104796;31/08/2020;8116
2828;122660;31/08/2020;10665
5218;133516;31/08/2020;8918
13010;85280;31/08/2020;5056
16598;67190;31/08/2020;5625
21581;200957;31/08/2020;5908
5367;227475;31/08/2020;8675
10838;59775;31/08/2020;3985
11413;106960;31/08/2020;7640
24580;220897;31/08/2020;8437
17989;110140;31/08/2020;6028
18132;35244;31/08/2020;5874
26427;24150;31/08/2020;4830
27797;123338;31/08/2020;7223
34143;100000;31/08/2020;20000
3482;69172;31/08/2020;4862
10218;68338;31/08/2020;4723
11634;17824;31/08/2020;5186
12329;168056;31/08/2020;14676
20450;170696;31/08/2020;15116
29398;123325;31/08/2020;8665
31075;175478;31/08/2020;15913
12133;109030;31/08/2020;6955
13941;170696;31/08/2020;15116
3937;95546;31/08/2020;7591
7431;58892;31/08/2020;4723
34839;112664;31/08/2020;5444
23486;71209;31/08/2020;5951
24617;121538;31/08/2020;6923
27403;133508;31/08/2020;8918
2938;74144;31/08/2020;5296
8235;154625;31/08/2020;5382
19114;178377;31/08/2020;8572
31736;182000;31/08/2020;13000
33998;168658;31/08/2020;12047
1106;244906;31/08/2020;11779
2641;124144;31/08/2020;5296
9085;65000;31/08/2020;5000
553;90792;31/08/2020;6984
1154;146171;31/08/2020;6265
18084;350000;31/08/2020;25000
2982;269850;31/08/2020;19275
5887;158536;31/08/2020;11324
7944;254545;31/08/2020;14965
11862;127067;31/08/2020;5159
13492;163069;31/08/2020;6265
15243;194117;31/08/2020;12702
18073;170152;31/08/2020;7868
20756;280000;31/08/2020;20000
22481;136071;31/08/2020;10467
22904;137557;31/08/2020;6076
8542;125058;31/08/2020;10834
17537;122448;31/08/2020;4738
3801;142146;31/08/2020;6074
11821;175425;31/08/2020;8675
16414;114490;31/08/2020;11449
21675;36000;31/08/2020;6000
1241;0;31/08/2020;8295
36010;142110;31/08/2020;6211
36680;109080;31/08/2020;5908
13114;50000;31/08/2020;10000
13185;179828;31/08/2020;11092
15775;170928;31/08/2020;11366
19218;131777;31/08/2020;5753
20773;114372;31/08/2020;12708
21719;161320;31/08/2020;8132
26492;152496;31/08/2020;9093
30148;150000;31/08/2020;15000
34038;121005;31/08/2020;13445
18031;85580;31/08/2020;4558
6598;120940;31/08/2020;6094
18115;168836;31/08/2020;3392
23885;360000;31/08/2020;50000
23916;127296;31/08/2020;7956
249;120464;31/08/2020;6744
29611;83134;31/08/2020;8239
1091;112664;31/08/2020;5444
8616;163592;31/08/2020;13932
13939;111965;31/08/2020;6393
15554;36312;31/08/2020;6574
20092;19372;31/08/2020;5603
22176;25135;31/08/2020;5027
24895;53508;31/08/2020;8918
26722;38608;31/08/2020;6994
35568;109812;31/08/2020;5582
36847;108816;31/08/2020;5843
3841;49434;31/08/2020;8239
12267;113508;31/08/2020;8918
31256;215734;31/08/2020;7270
23794;136358;31/08/2020;9393
15434;110904;31/08/2020;8484
23267;49936;31/08/2020;5491
8763;192744;31/08/2020;6632
9442;156436;31/08/2020;10772
10865;141338;31/08/2020;8314
24992;127088;31/08/2020;7848
29687;121730;31/08/2020;6955
33094;139562;31/08/2020;9927
36902;213860;31/08/2020;22310
